,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,rsi
0,2022-04-08,181.33,183.19,180.43,182.12,182.12,7144703.0,7144703.0,0.79,0.436,181.91333,"April 08, 22",0.00436,58.00721735907614
1,2022-04-07,181.67,182.95,180.23,181.76,181.76,7385291.0,7385291.0,0.09,0.05,181.64667,"April 07, 22",0.0005,57.80080915123356
2,2022-04-06,179.39,182.6,178.62,182.23,182.23,9991790.0,9991790.0,2.84,1.583,181.15,"April 06, 22",0.01583,58.16661236195106
3,2022-04-05,176.47,179.65,176.29,177.61,177.61,7279617.0,7279617.0,1.14,0.646,177.85,"April 05, 22",0.00646,55.45064059060184
4,2022-04-04,178.19,178.19,175.52,176.47,176.47,6595724.0,6595724.0,-1.72,-0.965,176.72667,"April 04, 22",-0.00965,54.74007362777758
5,2022-04-01,177.05,178.43,175.6,178.19,178.19,6525434.0,6525434.0,1.14,0.644,177.40667,"April 01, 22",0.00644,56.06223238691143
6,2022-03-31,179.59,180.21,176.98,177.23,177.23,11489920.0,11489920.0,-2.36,-1.314,178.14,"March 31, 22",-0.01314,55.473983747164304
7,2022-03-30,178.44,179.86,177.68,179.59,179.59,5912157.0,5912157.0,1.15,0.644,179.04333,"March 30, 22",0.00644,57.32290309288661
8,2022-03-29,178.62,179.4,176.8,177.74,177.74,5933914.0,5933914.0,-0.88,-0.493,177.98,"March 29, 22",-0.00493,56.20146846384825
9,2022-03-28,176.65,178.179,176.35,177.83,177.83,5230611.0,5230611.0,1.18,0.668,177.453,"March 28, 22",0.00668,56.2719650410763
10,2022-03-25,175.69,177.7,175.22,176.92,176.92,4809718.0,4809718.0,1.23,0.7,176.61333,"March 25, 22",0.007,55.72161744345246
11,2022-03-24,175.0,175.54,174.07,175.24,175.24,4724129.0,4724129.0,0.24,0.137,174.95,"March 24, 22",0.00137,54.68988705269382
12,2022-03-23,175.23,175.54,174.09,174.34,174.34,5098142.0,5098142.0,-0.89,-0.508,174.65667,"March 23, 22",-0.00508,54.12874292757066
13,2022-03-22,175.83,176.37,173.91,175.0,175.0,8441962.0,8441962.0,-0.83,-0.472,175.09333,"March 22, 22",-0.00472,54.61483371830581
14,2022-03-21,174.66,177.16,174.32,175.83,175.83,6179140.0,6179140.0,1.17,0.67,175.77,"March 21, 22",0.0067,55.22604822349072
15,2022-03-18,177.0,177.0,173.66,174.84,174.84,13809824.0,13809824.0,-2.16,-1.22,175.16667,"March 18, 22",-0.0122,54.63256224005671
16,2022-03-17,175.21,176.84,174.2,176.8,176.8,7472258.0,7472258.0,1.59,0.907,175.94667,"March 17, 22",0.00907,56.074673423428685
17,2022-03-16,175.46,176.95,172.56,174.52,174.52,9412693.0,9412693.0,-0.94,-0.536,174.67667,"March 16, 22",-0.00536,54.711859648327845
18,2022-03-15,173.33,176.52,172.55,176.14,176.14,10555153.0,10555153.0,2.81,1.621,175.07,"March 15, 22",0.01621,55.91993611808134
19,2022-03-14,170.68,174.12,170.35,171.69,171.69,7535962.0,7535962.0,1.01,0.592,172.05333,"March 14, 22",0.00592,53.13419944908461
20,2022-03-11,169.13,171.46,169.02,169.35,169.35,4803878.0,4803878.0,0.22,0.13,169.94333,"March 11, 22",0.0013,51.55653376944622
21,2022-03-10,168.56,170.15,168.075,169.66,169.66,5775152.0,5775152.0,1.1,0.653,169.295,"March 10, 22",0.00653,51.782850574912224
22,2022-03-09,170.01,170.23,167.89,169.36,169.36,6953110.0,6953110.0,-0.65,-0.382,169.16,"March 09, 22",-0.00382,51.5812777165669
23,2022-03-08,172.04,173.12,168.51,168.72,168.72,10580466.0,10580466.0,-3.32,-1.93,170.11667,"March 08, 22",-0.0193,51.15436303044248
24,2022-03-07,168.3,173.12,167.36,172.21,172.21,11152566.0,11152566.0,3.91,2.323,170.89667,"March 07, 22",0.02323,53.68391422169018
25,2022-03-04,167.64,169.86,166.85,169.48,169.48,6019248.0,6019248.0,1.84,1.098,168.73,"March 04, 22",0.01098,51.859014242817096
26,2022-03-03,166.7,169.334,166.37,168.48,168.48,5944401.0,5944401.0,1.78,1.068,168.06133,"March 03, 22",0.01068,51.16834181791226
27,2022-03-02,164.41,167.61,164.06,166.04,166.04,6793363.0,6793363.0,1.63,0.991,165.90333,"March 02, 22",0.00991,49.43359905552215
28,2022-03-01,163.04,164.75,162.4079,164.0,164.0,8388221.0,8388221.0,0.96,0.589,163.7193,"March 01, 22",0.00589,47.91762844979879
29,2022-02-28,162.87,165.18,162.3802,164.57,164.57,7960035.0,7960035.0,1.7,1.044,164.0434,"February 28, 22",0.01044,48.31424855905078
30,2022-02-25,160.0,166.985,159.7,166.0,166.0,10784034.0,10784034.0,6.0,3.75,164.22833,"February 25, 22",0.0375,49.31787248222318
31,2022-02-24,159.78,160.13,155.72,158.14,158.14,9907684.0,9907684.0,-1.64,-1.026,157.99667,"February 24, 22",-0.01026,42.93231836741063
32,2022-02-23,161.51,162.64,160.85,161.22,161.22,8016601.0,8016601.0,-0.29,-0.18,161.57,"February 23, 22",-0.0018,45.115150874130656
33,2022-02-22,163.575,163.74,160.44,161.14,161.14,6490554.0,6490554.0,-2.435,-1.489,161.77333,"February 22, 22",-0.01489,45.044026850056326
34,2022-02-18,164.979996,165.360001,162.940002,163.360001,163.360001,6422200.0,6422200.0,-1.62,-0.982,163.88667,"February 18, 22",-0.00982,46.68942745501091
35,2022-02-17,167.210007,167.449997,164.919998,166.190002,165.130005,6227600.0,6227600.0,-1.02,-0.61,166.19,"February 17, 22",-0.0061,48.92195993637466
36,2022-02-16,166.490005,167.839996,165.710007,167.210007,166.143509,8482400.0,8482400.0,1.08,0.65,166.92047,"February 16, 22",0.0065,49.7624307005431
37,2022-02-15,166.130005,168.100006,166.009995,167.309998,166.242859,6632800.0,6632800.0,1.18,0.71,167.14,"February 15, 22",0.0071,49.844697085085535
38,2022-02-14,167.710007,167.970001,163.809998,165.600006,164.543777,8967600.0,8967600.0,-2.11,-1.258,165.78,"February 14, 22",-0.01258,48.41547572654724
39,2022-02-11,169.119995,170.149994,167.539993,167.710007,166.64032,13124800.0,13124800.0,-1.41,-0.834,168.46833,"February 11, 22",-0.00834,50.14334383975909
40,2022-02-10,171.210007,171.220001,169.300003,169.419998,168.339401,10355300.0,10355300.0,-1.79,-1.045,169.98333,"February 10, 22",-0.01045,51.60607479807553
41,2022-02-09,172.070007,172.240005,171.25,171.490005,170.39621,5387500.0,5387500.0,-0.58,-0.337,171.66,"February 09, 22",-0.00337,53.45598903969934
42,2022-02-08,171.020004,172.050003,170.479996,171.509995,170.416061,6296100.0,6296100.0,0.49,0.287,171.34667,"February 08, 22",0.00287,53.47413005342856
43,2022-02-07,171.410004,171.740005,170.009995,171.059998,169.968933,6065700.0,6065700.0,-0.35,-0.204,170.93667,"February 07, 22",-0.00204,53.12317925701428
44,2022-02-04,171.0,172.979996,170.119995,171.630005,170.535309,6391900.0,6391900.0,0.63,0.368,171.57617,"February 04, 22",0.00368,53.62531161078528
45,2022-02-03,172.259995,173.619995,171.039993,172.759995,171.658096,6240400.0,6240400.0,0.5,0.29,172.47333,"February 03, 22",0.0029,54.6284797919468
46,2022-02-02,169.649994,172.990005,169.649994,172.770004,171.66803,7382800.0,7382800.0,3.12,1.839,171.80333,"February 02, 22",0.01839,54.63735208193785
47,2022-02-01,171.740005,171.979996,169.429993,170.880005,169.790085,8154700.0,8154700.0,-0.86,-0.501,170.76337,"February 01, 22",-0.00501,53.2317423191888
48,2022-01-31,171.5,172.619995,170.820007,172.289993,171.191086,8054800.0,8054800.0,0.79,0.461,171.91167,"January 31, 22",0.00461,54.46561019950507
49,2022-01-28,170.860001,171.839996,169.300003,171.789993,170.694275,9783100.0,9783100.0,0.93,0.544,170.97667,"January 28, 22",0.00544,54.095841048648346
50,2022-01-27,169.389999,171.910004,169.0,170.589996,169.501938,9066700.0,9066700.0,1.2,0.708,170.5,"January 27, 22",0.00708,53.20201178267054
51,2022-01-26,167.539993,169.220001,166.229996,168.380005,167.306046,9963200.0,9963200.0,0.84,0.501,167.94333,"January 26, 22",0.00501,51.49748750104538
52,2022-01-25,162.360001,168.410004,161.580002,167.630005,166.560822,14081200.0,14081200.0,5.27,3.246,165.87333,"January 25, 22",0.03246,50.90274350370152
53,2022-01-24,164.0,164.169998,158.259995,162.970001,161.930542,14054600.0,14054600.0,-1.03,-0.628,161.90667,"January 24, 22",-0.00628,46.94110213961983
54,2022-01-21,166.190002,167.990005,164.470001,164.869995,163.81842,10550300.0,10550300.0,-1.32,-0.794,165.77667,"January 21, 22",-0.00794,48.50495561622037
55,2022-01-20,167.289993,167.860001,164.929993,165.25,164.195999,6011300.0,6011300.0,-2.04,-1.219,166.013,"January 20, 22",-0.01219,48.82376951149959
56,2022-01-19,167.199997,168.720001,166.320007,166.580002,165.517517,5926500.0,5926500.0,-0.62,-0.371,167.2055,"January 19, 22",-0.00371,49.94986311396223
57,2022-01-18,167.100006,167.720001,166.009995,167.100006,166.03421,7815600.0,7815600.0,0.0,0.0,166.94167,"January 18, 22",0.0,50.39522499122641
58,2022-01-14,168.630005,168.649994,167.149994,167.839996,166.76947,5847700.0,5847700.0,-0.785,-0.466,167.88667,"January 14, 22",-0.00466,51.02974804065356
59,2022-01-13,169.0,170.419998,168.460007,168.759995,167.683609,6159400.0,6159400.0,-0.24,-0.142,169.21333,"January 13, 22",-0.00142,51.82477716371223
60,2022-01-12,169.610001,170.080002,168.339996,169.789993,168.707031,8116200.0,8116200.0,0.18,0.106,169.40167,"January 12, 22",0.00106,52.72605775036298
61,2022-01-11,172.990005,173.389999,170.110001,171.25,170.15773,8341100.0,8341100.0,-1.74,-1.006,171.58333,"January 11, 22",-0.01006,54.031366215691136
62,2022-01-10,173.690002,173.690002,172.160004,173.089996,171.985992,7698400.0,7698400.0,-0.6,-0.345,172.98,"January 10, 22",-0.00345,55.7355165358975
63,2022-01-07,171.460007,174.300003,171.130005,173.949997,172.8405,6984900.0,6984900.0,2.49,1.452,173.12667,"January 07, 22",0.01452,56.552516504085006
64,2022-01-06,172.149994,172.5,170.800003,171.630005,170.535309,7301600.0,7301600.0,-0.52,-0.302,171.64667,"January 06, 22",-0.00302,54.80092360251111
65,2022-01-05,172.0,173.470001,171.619995,172.220001,171.121536,7016100.0,7016100.0,0.22,0.128,172.43667,"January 05, 22",0.00128,55.35712326159427
66,2022-01-04,171.059998,172.289993,170.600006,171.080002,169.988815,6748400.0,6748400.0,0.02,0.012,171.32167,"January 04, 22",0.00012,54.48233223260979
67,2022-01-03,170.210007,171.600006,169.100006,171.539993,170.445877,6012200.0,6012200.0,1.33,0.781,170.74667,"January  03, 22",0.00781,54.90779058790509
