,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,rsi
0,2022-04-08,167.54,173.62,167.37,170.26,170.26,886206.0,886206.0,2.72,1.623,170.41667,"April 08, 22",0.01623,47.02480186988813
1,2022-04-07,167.51,170.0322,161.37,169.11,169.11,1505572.0,1505572.0,1.6,0.955,166.8374,"April 07, 22",0.00955,46.87563278948262
2,2022-04-06,175.75,176.445,162.28,166.65,166.65,2275843.0,2275843.0,-9.1,-5.178,168.45833,"April 06, 22",-0.05178,46.56017986870473
3,2022-04-05,183.66,185.69,180.06,180.82,180.82,1878969.0,1878969.0,-2.84,-1.546,182.19,"April 05, 22",-0.01546,48.17499680724395
4,2022-04-04,181.14,186.24,180.72,186.24,186.24,2350714.0,2350714.0,5.1,2.816,184.4,"April 04, 22",0.02816,48.80955137519
5,2022-04-01,169.5,179.7,167.2,178.78,178.78,2411079.0,2411079.0,9.28,5.475,175.22667,"April 01, 22",0.05475,47.88360190030115
6,2022-03-31,173.0,174.56,168.6906,170.56,170.56,1824555.0,1824555.0,-2.44,-1.41,171.2702,"March 31, 22",-0.0141,46.84535987983138
7,2022-03-30,184.6,189.074,174.09,174.78,174.78,4050287.0,4050287.0,-9.82,-5.32,179.31467,"March 30, 22",-0.0532,47.319637163793445
8,2022-03-29,169.4,175.4611,166.56,172.39,172.39,2110874.0,2110874.0,2.99,1.765,171.47037,"March 29, 22",0.01765,47.02194094860085
9,2022-03-28,164.45,168.4499,159.815,166.35,166.35,1458260.0,1458260.0,1.9,1.155,164.87163,"March 28, 22",0.01155,46.26996000868578
10,2022-03-25,169.2,170.84,159.58,161.1,161.1,1527637.0,1527637.0,-8.1,-4.787,163.84,"March 25, 22",-0.04787,45.61236362601076
11,2022-03-24,166.7,172.1,164.72,170.41,170.41,1365407.0,1365407.0,3.71,2.226,169.07667,"March 24, 22",0.02226,46.60360219373708
12,2022-03-23,171.72,172.63,165.04,166.33,166.33,1198610.0,1198610.0,-5.39,-3.139,168.0,"March 23, 22",-0.03139,46.100545957068135
13,2022-03-22,169.38,174.9,164.0,174.63,174.63,1711177.0,1711177.0,5.25,3.1,171.17667,"March 22, 22",0.031,46.98299426332657
14,2022-03-21,175.17,178.5,169.25,170.12,170.12,1518018.0,1518018.0,-5.05,-2.883,172.62333,"March 21, 22",-0.02883,46.43701963090903
15,2022-03-18,165.75,179.84,165.43,174.46,174.46,2871096.0,2871096.0,8.71,5.255,173.24333,"March 18, 22",0.05255,46.892426141072384
16,2022-03-17,164.34,166.5,160.34,165.0,165.0,1578792.0,1578792.0,0.66,0.402,163.94667,"March 17, 22",0.00402,45.75607250613168
17,2022-03-16,147.4,164.43,147.4,163.92,163.92,3033424.0,3033424.0,16.52,11.208,158.58333,"March 16, 22",0.11208,45.625903438949415
18,2022-03-15,153.25,155.57,141.06,145.04,145.04,2564554.0,2564554.0,-8.21,-5.357,147.22333,"March 15, 22",-0.05357,43.29467507041996
19,2022-03-14,139.35,160.3,138.93,151.92,151.92,3908061.0,3908061.0,12.57,9.02,150.38333,"March 14, 22",0.0902,43.96786981094848
20,2022-03-11,143.25,145.25,135.61,135.64,135.64,1072655.0,1072655.0,-7.61,-5.312,138.83333,"March 11, 22",-0.05312,41.8719031425062
21,2022-03-10,139.42,139.68,134.55,137.27,137.27,799598.0,799598.0,-2.15,-1.542,137.16667,"March 10, 22",-0.01542,42.02615349329014
22,2022-03-09,135.32,144.1275,134.26,140.21,140.21,1517357.0,1517357.0,4.89,3.614,139.5325,"March 09, 22",0.03614,42.301605609471146
23,2022-03-08,123.9,133.67,121.32,128.16,128.16,1617145.0,1617145.0,4.26,3.438,127.71667,"March 08, 22",0.03438,40.74154088283154
24,2022-03-07,133.18,136.61,124.56,126.25,126.25,1674924.0,1674924.0,-6.93,-5.203,129.14,"March 07, 22",-0.05203,40.49160447339946
25,2022-03-04,137.09,139.525,134.52,136.26,136.26,1653778.0,1653778.0,-0.83,-0.605,136.76833,"March 04, 22",-0.00605,41.388170308560895
26,2022-03-03,147.56,147.56,139.8,142.26,142.26,960218.0,960218.0,-5.3,-3.592,143.20667,"March 03, 22",-0.03592,41.93357941274977
27,2022-03-02,145.0,148.0,140.5,146.95,146.95,1034298.0,1034298.0,1.95,1.345,145.15,"March 02, 22",0.01345,42.36120345375208
28,2022-03-01,150.27,153.88,146.13,146.73,146.73,929951.0,929951.0,-3.54,-2.356,148.91333,"March 01, 22",-0.02356,42.3341704293674
29,2022-02-28,147.05,152.44,146.58,150.81,150.81,1381029.0,1381029.0,3.76,2.557,149.94333,"February 28, 22",0.02557,42.69812915538579
30,2022-02-25,157.11,157.97,149.63,150.62,150.62,1229298.0,1229298.0,-6.49,-4.131,152.74,"February 25, 22",-0.04131,42.67563758243537
31,2022-02-24,140.15,154.38,138.5664,154.06,154.06,2106207.0,2106207.0,13.91,9.925,149.00213,"February 24, 22",0.09925,42.97493097741364
32,2022-02-23,152.33,152.44,140.97,141.16,141.16,1509445.0,1509445.0,-11.17,-7.333,144.85667,"February 23, 22",-0.07333,41.46630922042921
33,2022-02-22,149.49,153.97,146.85,149.89,149.89,1492226.0,1492226.0,0.4,0.268,150.23667,"February 22, 22",0.00268,42.2068484694985
34,2022-02-18,156.95,159.3,151.6,156.94,156.94,1016333.0,1016333.0,-0.01,-0.006,155.94667,"February 18, 22",-6e-05,42.811936441937554
35,2022-02-17,163.426,167.0,157.09,157.36,157.36,879592.0,879592.0,-6.066,-3.712,160.48333,"February 17, 22",-0.03712,42.84779975191776
36,2022-02-16,161.93,168.28,158.31,165.49,165.49,1088417.0,1088417.0,3.56,2.198,164.02667,"February 16, 22",0.02198,43.53969154116261
37,2022-02-15,155.85,164.76,155.72,163.44,163.44,1214606.0,1214606.0,7.59,4.87,161.30667,"February 15, 22",0.0487,43.31349878383209
38,2022-02-14,163.67,165.79,153.76,154.53,154.53,3229737.0,3229737.0,-9.14,-5.584,158.02667,"February 14, 22",-0.05584,42.32939736819433
39,2022-02-11,167.93,174.2,167.78,170.95,170.95,1439926.0,1439926.0,3.02,1.798,170.97667,"February 11, 22",0.01798,43.69951659680676
40,2022-02-10,165.04,175.8,163.8803,167.54,167.54,1205620.0,1205620.0,2.5,1.515,169.07343,"February 10, 22",0.01515,43.32617524070591
41,2022-02-09,162.9,173.87,160.91,173.33,173.33,1873361.0,1873361.0,10.43,6.403,169.37,"February 09, 22",0.06403,43.80958270690212
42,2022-02-08,162.35,165.8086,156.25,159.6,159.6,3092005.0,3092005.0,-2.75,-1.694,160.55287,"February 08, 22",-0.01694,42.31385489510989
43,2022-02-07,175.59,176.875,171.12,172.81,172.81,1484534.0,1484534.0,-2.78,-1.583,173.60167,"February 07, 22",-0.01583,43.40321268861323
44,2022-02-04,175.77,177.36,172.35,176.57,176.57,880692.0,880692.0,0.8,0.455,175.42667,"February 04, 22",0.00455,43.71715579755953
45,2022-02-03,172.349,179.1267,171.2567,175.02,175.02,1405390.0,1405390.0,2.671,1.55,175.13447,"February 03, 22",0.0155,43.55220821163434
46,2022-02-02,181.0,184.13,175.22,180.15,180.15,1823487.0,1823487.0,-0.85,-0.47,179.83333,"February 02, 22",-0.0047,43.9701731446381
47,2022-02-01,182.18,183.61,174.16,179.6,179.6,1933418.0,1933418.0,-2.58,-1.416,179.12333,"February 01, 22",-0.01416,43.91361977608435
48,2022-01-31,166.0,172.66,162.51,172.08,172.08,1860290.0,1860290.0,6.08,3.663,169.08333,"January 31, 22",0.03663,43.14468142481863
49,2022-01-28,154.0,162.23,150.59,162.22,162.22,1426584.0,1426584.0,8.22,5.338,158.34667,"January 28, 22",0.05338,42.12512963452394
50,2022-01-27,161.93,164.35,152.885,154.54,154.54,2479477.0,2479477.0,-7.39,-4.564,157.25833,"January 27, 22",-0.04564,41.32192832418014
51,2022-01-26,163.53,167.68,159.1,160.7,160.7,2661973.0,2661973.0,-2.83,-1.731,162.49333,"January 26, 22",-0.01731,41.77767574515829
52,2022-01-25,157.485,166.5,152.5578,156.49,156.49,4071019.0,4071019.0,-0.995,-0.632,158.51593,"January 25, 22",-0.00632,41.34438371459344
53,2022-01-24,141.99,151.99,135.13,150.98,150.98,5816511.0,5816511.0,8.99,6.331,146.03333,"January 24, 22",0.06331,40.77910621514595
54,2022-01-21,153.85,154.87,145.84,147.5,147.5,4395854.0,4395854.0,-6.35,-4.127,149.40333,"January 21, 22",-0.04127,40.423737598907294
55,2022-01-20,166.41,166.79,155.73,156.53,156.53,3277701.0,3277701.0,-9.88,-5.937,159.68333,"January 20, 22",-0.05937,41.05013988934408
56,2022-01-19,171.64,175.72,160.6,161.66,161.66,3528521.0,3528521.0,-9.98,-5.814,165.99333,"January 19, 22",-0.05814,41.40737178417856
57,2022-01-18,183.27,183.27,168.07,169.23,169.23,4748281.0,4748281.0,-14.04,-7.661,173.52333,"January 18, 22",-0.07661,41.93510928365629
58,2022-01-14,195.56,206.24,194.61,196.0,196.0,2863839.0,2863839.0,0.44,0.225,198.95,"January 14, 22",0.00225,43.87293887585128
59,2022-01-13,217.09,220.2,202.86,202.99,202.99,2252811.0,2252811.0,-14.1,-6.495,208.68333,"January 13, 22",-0.06495,44.39793421538522
60,2022-01-12,216.78,221.575,213.7401,220.87,220.87,1806807.0,1806807.0,4.09,1.887,218.72837,"January 12, 22",0.01887,45.77091588238625
61,2022-01-11,222.93,224.23,213.02,215.8,215.8,2614332.0,2614332.0,-7.13,-3.198,217.68333,"January 11, 22",-0.03198,45.30086054388163
62,2022-01-10,204.45,230.34,201.55,230.0,230.0,3737708.0,3737708.0,25.55,12.497,220.63,"January 10, 22",0.12497,46.4049063206153
63,2022-01-07,213.7,217.73,209.27,211.84,211.84,1201388.0,1201388.0,-1.86,-0.87,212.94667,"January 07, 22",-0.0087,44.71628838791148
64,2022-01-06,214.48,217.47,198.0,214.74,214.74,2753842.0,2753842.0,0.26,0.121,210.07,"January 06, 22",0.00121,44.9378665943879
65,2022-01-05,230.47,230.59,211.03,211.43,211.43,3083233.0,3083233.0,-19.04,-8.261,217.68333,"January 05, 22",-0.08261,44.63097553401643
66,2022-01-04,231.81,233.39,220.0,224.09,224.09,3377289.0,3377289.0,-7.72,-3.33,225.82667,"January 04, 22",-0.0333,45.58326374590962
67,2022-01-03,253.87,256.14,231.5,231.85,231.85,3735861.0,3735861.0,-22.02,-8.674,239.83,"January  03, 22",-0.08674,46.17508950789587
68,2021-12-31,253.56,263.9499,251.512,257.8,257.8,1148059.0,1148059.0,4.24,1.672,257.75397,"December 31, 21",0.01672,48.22710856637725
69,2021-12-30,239.02,258.695,238.06,256.81,256.81,2341455.0,2341455.0,17.79,7.443,251.18833,"December 30, 21",0.07443,48.1409453012096
70,2021-12-29,235.12,244.3,231.73,240.61,240.61,2706885.0,2706885.0,5.49,2.335,238.88,"December 29, 21",0.02335,46.718949202559294
71,2021-12-28,250.35,256.4854,238.31,241.4,241.4,2555180.0,2555180.0,-8.95,-3.575,245.39847,"December 28, 21",-0.03575,46.780251183769685
72,2021-12-27,253.24,259.9,250.23,254.84,254.84,1515648.0,1515648.0,1.6,0.632,254.99,"December 27, 21",0.00632,47.82653280189642
73,2021-12-23,258.33,259.5199,250.05,255.29,255.29,2604661.0,2604661.0,-3.04,-1.177,254.9533,"December 23, 21",-0.01177,47.86165754056292
74,2021-12-22,273.45,274.5493,255.54,259.7,259.7,3092404.0,3092404.0,-13.75,-5.028,263.2631,"December 22, 21",-0.05028,48.20164130790474
75,2021-12-21,275.4,281.98,266.7,271.46,271.46,2768857.0,2768857.0,-3.94,-1.431,273.38,"December 21, 21",-0.01431,49.11336864754848
76,2021-12-20,299.41,302.34,275.0,275.23,275.23,2669643.0,2669643.0,-24.18,-8.076,284.19,"December 20, 21",-0.08076,49.40696552805175
77,2021-12-17,279.6,287.93,271.68,287.28,287.28,2499518.0,2499518.0,7.68,2.747,282.29667,"December 17, 21",0.02747,50.349768547325965
78,2021-12-16,288.273,289.3,277.0,283.68,283.68,2082995.0,2082995.0,-4.593,-1.593,283.32667,"December 16, 21",-0.01593,50.07081700137387
79,2021-12-15,271.78,289.7,271.51,287.05,287.05,2795403.0,2795403.0,15.27,5.619,282.75333,"December 15, 21",0.05619,50.33022889057792
80,2021-12-14,272.0,277.8999,261.01,276.77,276.77,2172586.0,2172586.0,4.77,1.754,271.8933,"December 14, 21",0.01754,49.548842901955126
81,2021-12-13,267.1417,287.0,264.2,278.22,278.22,4000265.0,4000265.0,11.0783,4.147,276.47333,"December 13, 21",0.04147,49.6568254013017
82,2021-12-10,268.72,271.55,252.89,257.68,257.68,5060088.0,5060088.0,-11.04,-4.108,260.70667,"December 10, 21",-0.04108,48.08624261134828
83,2021-12-09,298.0595,299.0,283.379,284.21,284.21,1980031.0,1980031.0,-13.8495,-4.647,288.863,"December 09, 21",-0.04647,50.06322094590936
84,2021-12-08,308.65,312.89,287.47,291.94,291.94,3983575.0,3983575.0,-16.71,-5.414,297.43333,"December 08, 21",-0.05414,50.65791929668551
85,2021-12-07,287.72,302.69,284.54,302.69,302.69,3461077.0,3461077.0,14.97,5.203,296.64,"December 07, 21",0.05203,51.491540744074605
