date,open,high,low,close,volume,rsi
2022-04-08,70.62,71.7,70.62,71.14,9082865.0,62.38849302236891
2022-04-07,69.31,71.14,69.3,71.01,8310168.0,62.271561086924756
2022-04-06,68.0,69.275,67.79,69.07,5596805.0,60.47445062764703
2022-04-05,66.93,68.13,66.91,67.05,6953316.0,58.45516042809556
2022-04-04,66.45,66.91,66.38,66.67,3987163.0,58.06015235308688
2022-04-01,65.73,66.89,65.67,66.81,3829902.0,58.260152825669465
2022-03-31,67.28,67.55,66.27,66.34,6141589.0,57.78168844836421
2022-03-30,66.23,67.22,66.19,67.12,6804160.0,58.87939154249656
2022-03-29,66.05,66.6,65.49,65.95,4753843.0,57.69805865789989
2022-03-28,65.13,65.585,64.715,65.38,6208853.0,57.10977586350898
2022-03-25,64.98,65.735,64.865,65.13,9365644.0,56.85185934223064
2022-03-24,64.3,66.06,64.035,66.02,15190933.0,58.07014700374867
2022-03-23,63.34,64.51,63.335,64.32,7525804.0,56.3179069519572
2022-03-22,63.55,63.81,63.17,63.66,4209120.0,55.61214950789159
2022-03-21,63.21,64.115,63.21,63.48,3993614.0,55.419640863386284
2022-03-18,62.79,63.425,62.55,63.23,6660351.0,55.15491611666542
2022-03-17,62.11,63.91,62.06,63.67,8668716.0,55.725664882500894
2022-03-16,61.9,62.0,61.105,61.96,6955711.0,53.909123790079406
2022-03-15,60.86,61.59,60.53,61.37,5856773.0,53.26070239365504
2022-03-14,61.56,61.57,60.27,60.39,9339992.0,52.165269328989574
2022-03-11,60.55,60.8954,60.24,60.3,6342337.0,52.0641564333251
2022-03-10,59.96,61.005,59.83,60.9,6345487.0,52.79323836255837
2022-03-09,58.7,60.595,58.49,60.43,9133935.0,52.28024901138116
2022-03-08,56.91,58.47,56.36,57.69,9874517.0,49.12148370380913
2022-03-07,57.205,57.47,56.39,56.5,9681997.0,47.64649942710511
2022-03-04,57.93,58.58,57.129,57.47,8533499.0,48.776062642648924
2022-03-03,60.25,60.785,59.34,60.07,6421598.0,52.01526474043167
2022-03-02,61.91,62.485,61.49,62.0,6555057.0,54.65570817275015
