,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,rsi
0,2022-04-08,54.85,55.58,54.46,55.17,55.17,23128622.0,23128622.0,0.32,0.583,55.07,"April 08, 22",0.00583,55.23178343351695
1,2022-04-07,52.5,55.41,52.5,55.16,55.16,36292543.0,36292543.0,2.66,5.067,54.35667,"April 07, 22",0.05067,55.220421379378
2,2022-04-06,51.16,53.09,51.16,52.87,52.87,31718155.0,31718155.0,1.71,3.342,52.37333,"April 06, 22",0.03342,52.51585766697944
3,2022-04-05,50.81,52.15,50.75,51.24,51.24,21027857.0,21027857.0,0.43,0.846,51.38,"April 05, 22",0.00846,50.42734260170504
4,2022-04-04,51.78,51.87,50.3775,50.94,50.94,20491602.0,20491602.0,-0.84,-1.622,51.0625,"April 04, 22",-0.01622,50.03092764928875
5,2022-04-01,52.12,52.16,51.1,51.57,51.57,19062099.0,19062099.0,-0.55,-1.055,51.61,"April 01, 22",-0.01055,50.86806832305608
6,2022-03-31,52.0,52.875,51.74,51.77,51.77,25588783.0,25588783.0,-0.23,-0.442,52.12833,"March 31, 22",-0.00442,51.13425563342929
7,2022-03-30,53.2,53.7199,51.9701,52.44,52.44,25491100.0,25491100.0,-0.76,-1.429,52.71,"March 30, 22",-0.01429,52.02807705653503
8,2022-03-29,54.0,54.08,52.62,52.74,52.74,39958370.0,39958370.0,-1.26,-2.333,53.14667,"March 29, 22",-0.02333,52.43023173582074
9,2022-03-28,52.53,53.56,52.5,53.28,53.28,18982976.0,18982976.0,0.75,1.428,53.11333,"March 28, 22",0.01428,53.15499811591671
10,2022-03-25,52.74,53.24,52.51,52.78,52.78,17435934.0,17435934.0,0.04,0.076,52.84333,"March 25, 22",0.00076,52.55993385418048
11,2022-03-24,52.54,52.845,52.29,52.59,52.59,15656498.0,15656498.0,0.05,0.095,52.575,"March 24, 22",0.00095,52.33445029273656
12,2022-03-23,53.02,53.495,52.155,52.19,52.19,29184145.0,29184145.0,-0.83,-1.565,52.61333,"March 23, 22",-0.01565,51.86240194461845
13,2022-03-22,54.2,54.32,52.5,53.04,53.04,32248266.0,32248266.0,-1.16,-2.14,53.28667,"March 22, 22",-0.0214,52.95452086022209
14,2022-03-21,54.24,55.3,53.9,54.19,54.19,34592628.0,34592628.0,-0.05,-0.092,54.46333,"March 21, 22",-0.00092,54.47550093720342
15,2022-03-18,54.38,55.0,53.705,54.51,54.51,51815625.0,51815625.0,0.13,0.239,54.405,"March 18, 22",0.00239,54.90554694295542
16,2022-03-17,52.92,54.25,52.79,54.24,54.24,30589145.0,30589145.0,1.32,2.494,53.76,"March 17, 22",0.02494,54.609254302098506
17,2022-03-16,52.54,53.265,52.18,52.92,52.92,29891579.0,29891579.0,0.38,0.723,52.78833,"March 16, 22",0.00723,53.13391237723513
18,2022-03-15,52.62,52.91,51.18,52.21,52.21,30172441.0,30172441.0,-0.41,-0.779,52.1,"March 15, 22",-0.00779,52.31695415399077
19,2022-03-14,50.72,52.91,50.39,52.25,52.25,40964279.0,40964279.0,1.53,3.017,51.85,"March 14, 22",0.03017,52.367354033431134
20,2022-03-11,49.14,50.895,48.9425,50.27,50.27,33704438.0,33704438.0,1.13,2.3,50.03583,"March 11, 22",0.023,50.03223939375169
21,2022-03-10,48.305,49.29,48.05,49.2,49.2,24543127.0,24543127.0,0.895,1.853,48.84667,"March 10, 22",0.01853,48.70036761817543
22,2022-03-09,48.13,49.22,48.0,48.75,48.75,24720933.0,24720933.0,0.62,1.288,48.65667,"March 09, 22",0.01288,48.13054587267101
23,2022-03-08,47.58,48.415,46.465,47.44,47.44,31344192.0,31344192.0,-0.14,-0.294,47.44,"March 08, 22",-0.00294,46.43305881754934
24,2022-03-07,48.25,48.8378,47.515,47.98,47.98,33172740.0,33172740.0,-0.27,-0.56,48.11093,"March 07, 22",-0.0056,47.0551448466971
25,2022-03-04,47.5,48.765,47.41,48.65,48.65,33223870.0,33223870.0,1.15,2.421,48.275,"March 04, 22",0.02421,47.83438343873085
26,2022-03-03,47.68,48.585,47.48,47.83,47.83,29999086.0,29999086.0,0.15,0.315,47.965,"March 03, 22",0.00315,46.77726002340254
27,2022-03-02,46.11,47.93,46.0,47.7,47.7,31121126.0,31121126.0,1.59,3.448,47.21,"March 02, 22",0.03448,46.60916159074093
28,2022-03-01,46.69,47.1368,45.44,45.75,45.75,29827926.0,29827926.0,-0.94,-2.013,46.10893,"March 01, 22",-0.02013,44.00961739608834
29,2022-02-28,46.82,47.17,46.34,46.94,46.94,31433723.0,31433723.0,0.12,0.256,46.81667,"February 28, 22",0.00256,45.32954543380702
30,2022-02-25,45.81,48.03,45.74,47.72,47.72,29894349.0,29894349.0,1.91,4.169,47.16333,"February 25, 22",0.04169,46.21998861463512
31,2022-02-24,45.86,46.755,45.4,45.96,45.96,44190803.0,44190803.0,0.1,0.218,46.03833,"February 24, 22",0.00218,43.77781397539196
32,2022-02-23,47.59,48.16,46.78,46.87,46.87,25761039.0,25761039.0,-0.72,-1.513,47.27,"February 23, 22",-0.01513,44.80885142288391
33,2022-02-22,47.54,48.31,47.35,47.53,47.53,34808783.0,34808783.0,-0.01,-0.021,47.73,"February 22, 22",-0.00021,45.57171049693794
34,2022-02-18,48.78,49.52,48.2,48.53,48.53,26939575.0,26939575.0,-0.25,-0.513,48.75,"February 18, 22",-0.00513,46.753602306632985
35,2022-02-17,49.81,49.96,48.75,48.9,48.9,21154903.0,21154903.0,-0.91,-1.827,49.20333,"February 17, 22",-0.01827,47.19744459483399
36,2022-02-16,49.59,50.775,49.43,49.68,49.68,27050936.0,27050936.0,0.09,0.181,49.96167,"February 16, 22",0.00181,48.1416212674373
37,2022-02-15,49.8,50.0399,49.21,49.79,49.79,26235834.0,26235834.0,-0.01,-0.02,49.67997,"February 15, 22",-0.0002,48.27509076886022
38,2022-02-14,49.82,50.5,48.48,49.8,49.8,39224658.0,39224658.0,-0.02,-0.04,49.59333,"February 14, 22",-0.0004,48.28701760078729
39,2022-02-11,50.33,51.24,50.075,50.78,50.78,33736453.0,33736453.0,0.45,0.894,50.69833,"February 11, 22",0.00894,49.46059984621502
40,2022-02-10,51.04,51.365,50.39,50.6,50.6,32867005.0,32867005.0,-0.44,-0.862,50.785,"February 10, 22",-0.00862,49.23852987068128
41,2022-02-09,51.64,51.72,50.9,51.47,51.47,38509430.0,38509430.0,-0.17,-0.329,51.36333,"February 09, 22",-0.00329,50.28510878069483
42,2022-02-08,50.64,51.8,49.69,51.7,51.7,66990060.0,66990060.0,1.06,2.093,51.06333,"February 08, 22",0.02093,50.56355360449815
43,2022-02-07,53.3,53.58,52.24,53.21,53.21,31998484.0,31998484.0,-0.09,-0.169,53.01,"February 07, 22",-0.00169,52.43151255634788
44,2022-02-04,53.02,53.43,52.63,53.0,53.0,24160350.0,24160350.0,-0.02,-0.038,53.02,"February 04, 22",-0.00038,52.19079393092622
45,2022-02-03,53.325,53.89,53.09,53.38,53.38,22603022.0,22603022.0,0.055,0.103,53.45333,"February 03, 22",0.00103,52.663389381675294
46,2022-02-02,52.84,54.13,52.45,53.86,53.86,32005787.0,32005787.0,1.02,1.93,53.48,"February 02, 22",0.0193,53.26040238856249
47,2022-02-01,52.74,53.16,52.39,53.07,53.07,26133794.0,26133794.0,0.33,0.626,52.87333,"February 01, 22",0.00626,52.38986724457271
48,2022-01-31,54.0,54.14,52.385,52.69,52.69,35965648.0,35965648.0,-1.31,-2.426,53.07167,"January 31, 22",-0.02426,51.96815796007713
