date,open,high,low,close,volume,rsi
2022-04-08,167.54,173.62,167.37,170.26,886206.0,47.02480186988813
2022-04-07,167.51,170.0322,161.37,169.11,1505572.0,46.87563278948262
2022-04-06,175.75,176.445,162.28,166.65,2275843.0,46.56017986870473
2022-04-05,183.66,185.69,180.06,180.82,1878969.0,48.17499680724395
2022-04-04,181.14,186.24,180.72,186.24,2350714.0,48.80955137519
2022-04-01,169.5,179.7,167.2,178.78,2411079.0,47.88360190030115
2022-03-31,173.0,174.56,168.6906,170.56,1824555.0,46.84535987983138
2022-03-30,184.6,189.074,174.09,174.78,4050287.0,47.319637163793445
2022-03-29,169.4,175.4611,166.56,172.39,2110874.0,47.02194094860085
2022-03-28,164.45,168.4499,159.815,166.35,1458260.0,46.26996000868578
2022-03-25,169.2,170.84,159.58,161.1,1527637.0,45.61236362601076
2022-03-24,166.7,172.1,164.72,170.41,1365407.0,46.603602193737075
2022-03-23,171.72,172.63,165.04,166.33,1198610.0,46.100545957068135
2022-03-22,169.38,174.9,164.0,174.63,1711177.0,46.98299426332657
2022-03-21,175.17,178.5,169.25,170.12,1518018.0,46.43701963090903
2022-03-18,165.75,179.84,165.43,174.46,2871096.0,46.892426141072384
2022-03-17,164.34,166.5,160.34,165.0,1578792.0,45.75607250613168
2022-03-16,147.4,164.43,147.4,163.92,3033424.0,45.625903438949415
2022-03-15,153.25,155.57,141.06,145.04,2564554.0,43.29467507041996
2022-03-14,139.35,160.3,138.93,151.92,3908061.0,43.96786981094848
2022-03-11,143.25,145.25,135.61,135.64,1072655.0,41.8719031425062
2022-03-10,139.42,139.68,134.55,137.27,799598.0,42.02615349329014
2022-03-09,135.32,144.1275,134.26,140.21,1517357.0,42.301605609471146
2022-03-08,123.9,133.67,121.32,128.16,1617145.0,40.74154088283154
2022-03-07,133.18,136.61,124.56,126.25,1674924.0,40.49160447339946
2022-03-04,137.09,139.525,134.52,136.26,1653778.0,41.388170308560895
2022-03-03,147.56,147.56,139.8,142.26,960218.0,41.93357941274977
2022-03-02,145.0,148.0,140.5,146.95,1034298.0,42.36120345375208
2022-03-01,150.27,153.88,146.13,146.73,929951.0,42.3341704293674
2022-02-28,147.05,152.44,146.58,150.81,1381029.0,42.69812915538579
2022-02-25,157.11,157.97,149.63,150.62,1229298.0,42.67563758243537
2022-02-24,140.15,154.38,138.5664,154.06,2106207.0,42.974930977413635
2022-02-23,152.33,152.44,140.97,141.16,1509445.0,41.46630922042921
2022-02-22,149.49,153.97,146.85,149.89,1492226.0,42.2068484694985
2022-02-18,156.95,159.3,151.6,156.94,1016333.0,42.811936441937554
2022-02-17,163.426,167.0,157.09,157.36,879592.0,42.847799751917755
2022-02-16,161.93,168.28,158.31,165.49,1088417.0,43.539691541162604
2022-02-15,155.85,164.76,155.72,163.44,1214606.0,43.31349878383209
2022-02-14,163.67,165.79,153.76,154.53,3229737.0,42.32939736819433
2022-02-11,167.93,174.2,167.78,170.95,1439926.0,43.69951659680676
2022-02-10,165.04,175.8,163.8803,167.54,1205620.0,43.32617524070591
2022-02-09,162.9,173.87,160.91,173.33,1873361.0,43.80958270690212
2022-02-08,162.35,165.8086,156.25,159.6,3092005.0,42.31385489510989
2022-02-07,175.59,176.875,171.12,172.81,1484534.0,43.40321268861323
2022-02-04,175.77,177.36,172.35,176.57,880692.0,43.71715579755953
2022-02-03,172.349,179.1267,171.2567,175.02,1405390.0,43.55220821163434
2022-02-02,181.0,184.13,175.22,180.15,1823487.0,43.9701731446381
2022-02-01,182.18,183.61,174.16,179.6,1933418.0,43.91361977608435
2022-01-31,166.0,172.66,162.51,172.08,1860290.0,43.14468142481863
2022-01-28,154.0,162.23,150.59,162.22,1426584.0,42.125129634523944
2022-01-27,161.93,164.35,152.885,154.54,2479477.0,41.32192832418014
2022-01-26,163.53,167.68,159.1,160.7,2661973.0,41.777675745158284
