date,open,high,low,close,volume,rsi
2022-04-08,156.79,165.18,156.6,160.84,5454415.0,45.31006844252319
2022-04-07,153.13,159.774,151.39,159.0,5720873.0,45.05930252993935
2022-04-06,157.48,161.64,150.705,154.62,7401800.0,44.4652728743266
2022-04-05,169.25,172.395,160.43,162.05,6641095.0,45.27913885554589
2022-04-04,177.24,180.87,171.07,172.54,5908675.0,46.45561436783957
2022-04-01,173.35,179.03,170.6,176.59,4908900.0,46.91684607352566
2022-03-31,175.22,178.437,171.11,172.26,5680648.0,46.35884113015746
2022-03-30,182.57,187.7099,172.78,174.92,7015528.0,46.65409179442154
2022-03-29,174.07,182.0899,171.03,180.64,7153495.0,47.288774759396176
2022-03-28,167.37,174.45,165.8,173.08,6433260.0,46.34331559089787
2022-03-25,178.25,179.19,163.031,165.92,8275664.0,45.43492691794152
2022-03-24,175.84,181.86,172.35,179.68,6317595.0,46.93130733776399
2022-03-23,184.66,185.75,176.8,178.73,7306568.0,46.81278760622514
2022-03-22,175.38,188.0,168.18,186.72,8568013.0,47.69066712611191
2022-03-21,179.91,182.6,172.44,175.38,6010884.0,46.28972517724319
2022-03-18,171.58,180.8,170.1,178.93,12520112.0,46.673211623149555
2022-03-17,167.75,172.137,160.66,168.26,7781429.0,45.339376530320216
2022-03-16,150.0,169.8,149.67,169.36,13949463.0,45.45424093379775
2022-03-15,156.27,158.0,141.75,148.12,13181512.0,42.70764684542499
2022-03-14,140.2,166.7299,139.73,150.07,22841530.0,42.90201151343958
2022-03-11,140.75,145.8,138.0,138.2,5354130.0,41.30859856862994
2022-03-10,139.51,140.83,135.85,139.52,5557603.0,41.43461294851855
2022-03-09,132.075,145.27,132.05,142.49,9534799.0,41.715209720369934
2022-03-08,125.0,136.96,122.01,129.28,6675779.0,39.94240977191524
2022-03-07,135.12,138.4,126.28,126.46,6177590.0,39.55780284495626
2022-03-04,140.82,143.91,135.91,136.46,5508197.0,40.4581970517908
2022-03-03,147.9,149.232,139.53,141.52,4549800.0,40.920060281119305
2022-03-02,149.44,150.4273,140.44,147.86,5356594.0,41.5018134439391
2022-03-01,152.48,156.3793,147.98,149.52,4820680.0,41.65376377262737
2022-02-28,150.98,155.46,147.44,153.6,6135026.0,42.02437105007477
2022-02-25,156.02,156.19,147.01,151.33,7807417.0,41.741747127678025
2022-02-24,139.865,156.42,138.12,156.23,17345418.0,42.17669002488669
2022-02-23,145.17,145.62,134.0,135.73,7761394.0,39.59615311656706
2022-02-22,142.26,151.18,141.86,144.97,6631916.0,40.392406032625125
2022-02-18,147.55,151.456,141.31,145.74,5451157.0,40.45885013001744
2022-02-17,150.2,154.6596,145.29,146.36,6152825.0,40.511435066130524
2022-02-16,147.62,152.37,144.5,151.81,5528112.0,40.97015360861504
2022-02-15,142.49,152.93,139.22,151.12,10858830.0,40.88710553611555
2022-02-14,157.526,159.44,138.14,142.47,16546808.0,39.847412073825375
2022-02-11,161.25,168.79,160.1,161.32,5223046.0,41.40255962945227
2022-02-10,158.0,168.67,157.54,160.42,5882429.0,41.29535805713358
2022-02-09,154.3703,164.23,154.1725,164.03,5572230.0,41.59448048828496
2022-02-08,155.2,157.17,147.57,153.31,7611895.0,40.33680702743173
2022-02-07,162.203,165.54,156.2701,160.27,4400372.0,40.89714169320729
2022-02-04,165.64,167.5,160.26,163.01,4046897.0,41.11750543157587
2022-02-03,165.07,170.09,163.2,163.95,4172486.0,41.19212706653126
2022-02-02,170.807,177.2,163.6108,169.61,5368322.0,41.638032593882215
2022-02-01,175.2,177.55,167.29,172.74,6907656.0,41.883745592696755
2022-01-31,160.05,170.33,154.56,169.33,9083449.0,41.51526332998864
2022-01-28,149.95,159.87,146.76,159.47,6756347.0,40.44526304433226
2022-01-27,157.43,158.23,146.54,148.62,8641786.0,39.246617665871426
2022-01-26,157.99,165.85,152.8,154.96,9130055.0,39.70422899401234
2022-01-25,156.01,168.26,150.0,152.54,11335169.0,39.44009035569648
2022-01-24,153.47,158.0,138.17,157.3,16522526.0,39.7759698744237
2022-01-21,166.23,171.2543,157.29,160.07,11679343.0,39.97009407643796
2022-01-20,174.99,177.47,166.215,167.52,11450596.0,40.4909522397551
2022-01-19,188.84,191.3399,173.43,174.07,10325904.0,40.95073973849433
2022-01-18,196.914,198.82,185.39,186.61,10994740.0,41.84218742307453
2022-01-14,204.01,212.745,200.08,204.73,9844707.0,43.17305113913303
2022-01-13,219.56,221.4999,209.58,210.17,7360202.0,43.580883815976456
2022-01-12,220.48,228.5,218.778,222.89,5825779.0,44.5451206200862
2022-01-11,226.0,227.96,220.2801,221.39,7314382.0,44.40296319796673
2022-01-10,211.37,241.99,207.5,233.7,17173305.0,45.33768414759435
2022-01-07,216.414,221.9599,212.0,213.86,5194175.0,43.457704491083085
2022-01-06,216.035,222.22,205.25,216.06,7993715.0,43.62073360809335
2022-01-05,232.1,237.88,214.6,215.23,8981157.0,43.54242633674972
2022-01-04,232.2,239.4299,225.24,233.06,10400075.0,44.853970409872296
2022-01-03,247.12,249.42,231.09,235.05,11690730.0,45.00223318951967
2021-12-31,249.88,259.1989,246.7,253.98,6804629.0,46.43304332638746
2021-12-30,243.83,254.24,242.4,251.6,6546988.0,46.22237366822448
2021-12-29,239.33,249.489,233.2,247.88,9062051.0,45.89644476133846
2021-12-28,245.365,254.57,237.58,241.44,9061507.0,45.33435623413055
2021-12-27,243.0,252.72,240.5801,246.88,8183604.0,45.727631590183655
2021-12-23,250.41,253.65,238.53,249.99,9656006.0,45.95096385516087
2021-12-22,264.06,267.0,245.5,251.36,13863718.0,46.04805291315891
2021-12-21,275.5,281.3,257.2,268.14,12538510.0,47.24628456739361
2021-12-20,321.305,321.305,275.12,276.38,16843528.0,47.8454286826396
2021-12-17,275.57,296.39,269.01,294.8,10544846.0,49.21261780348205
2021-12-16,284.2,287.134,277.07,282.02,5957080.0,48.20630654980844
2021-12-15,271.7994,290.35,271.55,283.28,9269610.0,48.298771758723234
2021-12-14,264.295,278.3299,257.2005,277.16,6384485.0,47.82237836656547
2021-12-13,257.4,275.78,257.0,271.99,10527534.0,47.42129006878644
2021-12-10,235.405,261.966,233.95,257.06,17432955.0,46.25202449570969
2021-12-09,285.19,285.71,271.5,272.21,5197582.0,47.29800837548294
2021-12-08,282.38,288.28,272.95,283.4,7107777.0,48.085142390433454
2021-12-07,268.14,287.77,263.07,282.35,10713387.0,48.00557265501096
2021-12-06,280.85,287.28,256.5601,265.33,19734097.0,46.70805232276052
2021-12-03,318.09,318.7854,293.6,306.72,12700292.0,49.66157137166217
2021-12-02,301.29,318.47,291.03,301.49,15349270.0,49.26429378294553
